pubDate,firstAuthor,genus,species,experiment,totalMonths,censusNumber,repNumber,seedNumber,germination,survival,isEstimationDiscrete,noteContinuousParameter,isMortalityGerminationSeparateInModel,notesOnEstimation,observationType,parameter,notes,doi
1992,Kalisz,Collinsia,verna,seed bag burial,36,2,18,125,age,age,yes,NA,yes,,"germinated in field, germination experiment, viability test","seed survival in seed bank, germination",,10.2307/1940182
1994,Bullock,Cirsium,vulgare,seed addition,4,1,32,100,constant,constant,yes,NA,yes,,"soil seed bank, emergence","seed survival in seed bank, germination",,10.2307/2261390
1995,Lonsdale,Calligrapha,pantherina,seed bag burial,6,1,10,100,constant,constant,yes,NA,yes,,germination,seed survival in seed bank,,10.2307/2405105
1995,Jarry,Sesbania,vesicaria,seed bag burial,6,1,NA,NA,constant,constant,yes,NA,yes,,intact,seed survival in seed bank,,10.1007/BF00709433
1995,Wardle,Campanula,americana,seed addition,24,NA,20,200,constant,constant,yes,NA,yes,mortality not estimated,germination,germination,,NA
1995,Horvitz,Calathea,ovandensis,seed bag burial,24,2,50,5,constant,constant,yes,NA,yes,,"germinated in bag, viability test","germination, seed survival",,10.2307/2937136
1997,Zippin,Streptanthus,bracteatus,seed bag burial,32,5,10,100,constant,constant,yes,NA,yes,,"germinated in bag, germination experiment, viability test",seed survival in seed bank,,NA
1998,Bernal,Phytelephas,seemannii,seed addition,NA,NA,NA,NA,constant,constant,yes,NA,NA,,"emergence, seeds intact","seed survival in seed bank, germination",,10.1046/j.1365-2664.1998.00280.x
2000,Silva,Espeletia,timotensis,seed bag burial,12,6,5,100,constant,constant,yes,NA,yes,mortality not estimated,"germinated in bag, dead/decomposing, viability test","seed survival in seed bank, germination",,10.1046/j.1365-2699.2000.00187.x
2000,Parker,Cytisus,scoparius,seed bag burial,24,2,8,50,constant,constant,yes,NA,yes,,"viability test, dead",seed survival in seed bank,,10.1890/1051-0761(2000)010[0726:IDOCSA]2.0.CO;2
2002,Pico,Lobularia,maritima,seed addition,1,1,16,20,constant,constant,yes,NA,yes,,ant predation,seed survival,,10.1890/0012-9658(2002)083[1991:AEFAFS]2.0.CO;2
2003,Garcia,Borderea,chouardii,seed addition,NA,NA,NA,NA,constant,constant,NA,NA,yes,,emergence,seed survival in seed bank,,10.1111/j.1523-1739.2003.00030.x
2003,Quintana-Ascencio,Hypericum,cumulicola,seed bag burial,24,2,5,20,constant,constant,yes,NA,yes,,"germination experiment, dead",seed survival in seed bank,,10.1046/j.1523-1739.2003.01431.x
2004,Volis,Hordeum,spontaneum,seed bag burial,36,3,NA,NA,age,age,yes,NA,yes,,"germinated in bag, dead/missing, GA3+TZ test for viability",seed survival in seed bank,,10.1078/1439-1791-00192
2005,Morris,Silene,acaulis,seed addition,48,4,10,400,constant,constant,yes,NA,yes,,emergence,"seed survival in seed bank, germination",,10.1890/03-4116
2005,Liu,Chamaecrista,keyensis,seed addition,12,NA,10,20,age,unestimated,yes,NA,yes,,emergence,germination,,10.1890/03-5382
2005,McGraw,Panax,quinquefolius,seed bag burial,21,2,3,50,constant,constant,yes,NA,yes,,"germinated in bag, viability test","seed survival in seed bank, germination",,10.1126/science.1107036
2005,Adams,Helenium,virginicum,seed bag burial,84,17,3,33,constant,constant,no,mortality,yes,,"viability test, germination experiment",seed survival in seed bank,,10.1016/j.biocon.2005.02.001 
2005,Liu,Chamaecrista,keyensis,seed bag burial,24,2,1,20,unestimated,age,yes,NA,yes,,"germinated in bag, dead/decomposing, viability test",seed survival in seed bank,,10.1890/03-5382
2005,Griffith,Aeschynomene,virginica,seed bag burial,6,1,9,125,constant,constant,yes,NA,yes,,"viability test, germination experiment","seed survival in seed bank, germination",,10.1890/02-5219
2005,Emery,Centaurea,maculosa,seed bag burial,96,10,5,100,constant,constant,yes,NA,yes,mortality not estimated,"germinated in bag, dead/decomposing, viability test",seed survival in seed bank,,10.1111/j.1365-2664.2004.00990.x 
2006,Leimu,Vincetoxicum,hirundinaria,seed addition,36,3,45,750,constant,constant,yes,NA,yes,,emergence,"seed survival in seed bank, germination",,10.1016/j.baae.2005.09.002 
2006,Lehtila,Primula,veris,seed addition,24,2,4,50,constant,constant,yes,NA,yes,,emergence,"seed survival in seed bank, germination",,10.1111/j.1523-1739.2006.00368.x 
2006,Jongejans,Carduus,nutans,seed addition,16,3,8,625,unestimated,constant,yes,NA,yes,,soil core,seed survival in seed bank,,10.1111/j.1365-2664.2006.01228.x 
2006,Jongejans,Carduus,nutans,seed addition,6,1,8,625,constant,unestimated,yes,NA,yes,,emergence,germination,,10.1111/j.1365-2664.2006.01228.x 
2006,Angert,Mimulus,NA,seed addition,24,2,10,2160,constant,constant,yes,NA,yes,,emergence,seed survival in seed bank,,10.1890/0012-9658(2006)87[2014:DOCAMP]2.0.CO;2
2006,Hyatt,Polygonum,perfoliatum,seed bag burial,12,2,5,100,constant,constant,NA,NA,yes,,intact,seed survival in seed bank,,10.1007/s10530-004-5572-9 
2006,Meyer,Lepidium,papilliferum,seed bag burial,132,19,3,100,,,no,"mortality, germination",yes,,"germinated, germinabe, dormant, dead","seed survival in seed bank, germination",,10.3732/ajb.93.6.891
2007,Hansen,Agropyron,cristatum,seed addition,24,2,30,50,NA,unestimated,yes,NA,yes,,emergence,germination,,10.1016/j.biocon.2007.07.028
2007,Hansen,Agropyron,cristatum,seed addition,12,1,90,50,unestimated,NA,yes,NA,yes,,viability test,seed survival in seed bank,studied 5 species,10.1016/j.biocon.2007.07.028
2007,Dostal,NA,NA,seed addition,12,NA,NA,NA,constant,constant,yes,NA,yes,,"emergence, viability test","seed survival in seed bank, germination",,10.1007/s12224-012-9132-2
2008,Ramula,Cirsium,palustre,seed addition,24,2,3,50,constant,constant,yes,NA,yes,,emergence,establishment,,10.1016/j.actao.2007.11.005 
2009,Miller,Opuntia,imbricata,seed addition,30,3,NA,NA,constant,constant,yes,NA,no,,emergence,germination,,10.1890/07-1550.1
2009,Kottas,Penstemon,haydenii,seed addition,NA,NA,NA,NA,constant,unestimated,yes,NA,yes,,emergence,germination,,NA
2009,Godfree,Trifolium,repens,seed addition,NA,NA,NA,NA,constant,unestimated,yes,NA,yes,,emergence,germination,,10.1111/j.1442-9993.2009.01966.x 
2009,Kottas,Penstemon,haydenii,seed bag burial,30,5,2,100,unestimated,constant,yes,NA,yes,,"germinated in bag, viability test",seed survival in seed bank,,NA
2009,Godfree,Trifolium,repens,seed bag burial,12,4,1,50,unestimated,constant,yes,NA,yes,,"viability test, dead",seed survival in seed bank,,10.1111/j.1442-9993.2009.01966.x 
2009,Schutzenhofer,Lespedeza,NA,seed addition,6,1,25,25,constant,constant,yes,NA,yes,,"emergence, viability test","seed survival in seed bank, germination",,10.1007/s00442-009-1354-5
2010,Yates,Verticordia,fimbreilepis,seed bag burial,30,4,21,100,constant,age,no,mortality,yes,,"viability test, germination experiment",seed survival in seed bank,,10.1007/s11258-010-9791-0 
2010,Martinez-Duro,Helianthemum,polygonoides,seed bag burial,26,8,1,1000,constant,constant,no,mortality,yes,,viability test,seed survival in seed bank,,10.1007/s10144-010-0195-8 
2010,Sletvold,Dactylorhiza,lapponica,seed bag burial,36,3,20,400,constant,unestimated,yes,NA,no,,"germinated in bag, viability test","seed survival in seed bank, germination",,10.1016/j.biocon.2009.12.017 
2010,Griffith,Bromus,tectorum,seed bag burial,6,1,NA,30,constant,constant,yes,NA,yes,,"germinated in bag, viability test","seed survival in seed bank, germination",,10.1890/08-1446.1
2010,Ramirez,Helianthus,annuus,seed addition,12,2,NA,100,constant,constant,yes,NA,yes,,"emergence, viability test","seed survival in seed bank, germination",,NA
2010,Ramirez,Ambrosia,trifida,seed addition,12,2,NA,100,constant,constant,yes,NA,yes,,"emergence, viability test","seed survival in seed bank, germination",,NA
2011,Godfree,Austrostipa,aristiglumis,seed addition,12,3,NA,173,constant,unestimated,yes,NA,yes,,emergence,germination,,10.1111/j.1365-2486.2010.02292.x 
2011,Godfree,Austrostipa,aristiglumis,seed bag burial,12,3,1,100,unestimated,constant,yes,NA,yes,,"dormancy, viability",seed survival in seed bank,,10.1111/j.1365-2486.2010.02292.x 
2011,Eckhart,Clarkia,xantiana,seed bag burial,36,6,10,100,age,age,yes,NA,yes,,"germinated in bag, dead/decomposing, viability test","seed survival in seed bank, germination",,10.1086/661782 
2012,Heinken-Smidova,Ligularia,sibirica,seed addition,NA,NA,5,50,constant,unestimated,yes,NA,yes,,emergence,germination,,10.1007/s12224-011-9116-7 
2012,Evans,Alliaria,petiolata,seed addition,24,2,NA,NA,constant,constant,yes,NA,yes,,"emergence, viability test","seed survival in seed bank, germination",,10.1890/11-1291.1
2012,Bricker,Lithospermum,ruderale,seed addition,24,2,NA,NA,age,age,yes,NA,yes,,emergence,"seed survival in seed bank, germination",,10.1890/11-0948.1
2012,Heinken-Smidova,Ligularia,sibirica,seed bag burial,24,2,5,50,unestimated,constant,yes,NA,yes,,"viability test, dead",seed survival in seed bank,,10.1007/s12224-011-9116-7 
2012,Hahn,Centaurea,stoebe,seed bag burial,12,2,2,100,constant,constant,yes,NA,yes,,crush test,seed survival in seed bank,,10.1111/j.1461-0248.2012.01813.x 
2012,Brownsey,Dittrichia,graveolens,seed bag burial,9,1,50,30,constant,constant,yes,NA,yes,,"viability test, germination experiment","seed survival in seed bank, germination",,NA
2012,Bricker,Lithospermum,ruderale,seed bag burial,24,2,6,25,age,age,yes,NA,yes,,"missing/damaged, intact","seed survival in seed bank, germination",,10.1890/11-0948.1
2012,Martin,Astragalus,peckii,seed bag burial,22,2,10,10,constant,constant,yes,NA,yes,,germination experiment,seed survival in seed bank,,10.1007/s10144-012-0318-5 
2013,Dostalek,Dracocephalum,austriacum,seed bag burial,12,1,2,50,constant,constant,yes,NA,yes,,germination experiment,seed survival in seed bank,,10.1007/s12224-012-9132-2 
2013,Burns,NA,NA,seed bag burial,24,2,NA,400,age,age,no,mortality,yes,,"viability test, germination experiment","seed survival in seed bank, germination","worked on 17 species, not all had empirical seed bank estimates",10.1890/12-1310.1
2014,Gross,Olearia,flocktoniae,seed addition,1,1,21,25,age,age,yes,NA,yes,,emergence,germination,,10.1093/aob/mcu082 
2015,Hooftman,Brassica,NA,seed addition,NA,1,3,50,constant,unestimated,yes,NA,yes,,emergence,germination,,10.1093/aob/mcu213 
2015,Hooftman,Brassica,NA,seed bag burial,12,2,5,50,unestimated,constant,yes,NA,yes,,viability test,seed survival in seed bank,,10.1093/aob/mcu213 
2016,Teitel,Raphanus,NA,seed bag burial,18,3,NA,10,constant,constant,yes,NA,yes,,"germinated in bag, dead/decomposing, viability test","seed survival in seed bank, germination",,10.1186/s12862-016-0833-7 
2017,Kurkjian,Lupinus,constancei,seed addition,72,6,NA,435,constant,unestimated,yes,NA,yes,,emergence,germination,,10.1111/1365-2664.12808 
2017,Kurkjian,Lupinus,constancei,seed bag burial,36,3,5,10,unestimated,constant,yes,NA,yes,,"germinated in bag, viability test",seed survival in seed bank,,10.1111/1365-2664.12808 
2018,Lommen,Ambrosia,artemisiifolia,seed bag burial,60,5,5,50,constant,constant,no,mortality,yes,,viability test,seed survival in seed bank,,10.3897/neobiota.39.23398 
2019,Osipitan,Bassia,scoparia,seed bag burial,22,4,4,100,constant,constant,no,"mortality, germination",yes,,"germination experiment, crush test",seed survival in seed bank,,10.1017/wsc.2018.85
2019,Wainwright,NA,NA,seed bag burial,7,1,5,30,constant,constant,yes,NA,yes,,"germinated in bag, dead/missing, GA3+TZ test for viability","seed survival in seed bank, germination",conducted experiments for 3 species,10.1111/1365-2745.13056 
2020,Akin-Fajiye,Centaurea,stoebe,seed addition,10,1,53,50,constant,unestimated,yes,NA,yes,,emergence,seedling recruitment,,"10.1007/s10530-020-02232-6(0123456789().,-volV() 0123458697().,-volV) "
2020,Akin-Fajiye,Centaurea,stoebe,seed bag burial,12,1,10,100,unestimated,constant,yes,NA,yes,,germination experiment,seed survival in seed bank,,"10.1007/s10530-020-02232-6(0123456789().,-volV() 0123458697().,-volV) "
2021,Tanner,Eriophyllum,NA,seed bag burial,18,2,20,18,constant,age,yes,NA,yes,,"germinated in bag, dead/decomposing, viability test",seed survival in seed bank,worked with Eriophyllum mohavense and Eriophyllum wallacei; seeds in individual cells,10.1002/eap.2349